Serial_Number,target,feature,feature_label,feature_value,shap_value,unit
18,FWHM,Time,Time,9.02,-0.484431,nm
18,FWHM,Temperature,Temperature,150.3,2.224884,nm
18,FWHM,Molar Ratio,Molar ratio,359.9,-4.377597,nm
18,FWHM,H2SO4 Volume,H2SO4 amount,3.92,2.116199,nm
19,FWHM,Time,Time,8.4,0.926236,nm
19,FWHM,Temperature,Temperature,199.5,4.296616,nm
19,FWHM,Molar Ratio,Molar ratio,250.2,-3.285523,nm
19,FWHM,H2SO4 Volume,H2SO4 amount,1.69,-3.606273,nm
20,FWHM,Time,Time,9.15,-1.323134,nm
20,FWHM,Temperature,Temperature,196.4,1.446505,nm
20,FWHM,Molar Ratio,Molar ratio,749.3,5.145079,nm
20,FWHM,H2SO4 Volume,H2SO4 amount,2.53,-3.907394,nm
21,FWHM,Time,Time,10.68,-2.534995,nm
21,FWHM,Temperature,Temperature,153.9,-3.49231,nm
21,FWHM,Molar Ratio,Molar ratio,350.2,-7.380551,nm
21,FWHM,H2SO4 Volume,H2SO4 amount,3.97,2.038912,nm
22,FWHM,Time,Time,10.41,-3.593653,nm
22,FWHM,Temperature,Temperature,155.3,-3.835986,nm
22,FWHM,Molar Ratio,Molar ratio,436.5,-4.528051,nm
22,FWHM,H2SO4 Volume,H2SO4 amount,3.84,1.566745,nm
23,FWHM,Time,Time,10.78,-2.471671,nm
23,FWHM,Temperature,Temperature,153.2,-1.291569,nm
23,FWHM,Molar Ratio,Molar ratio,473.9,-4.100319,nm
23,FWHM,H2SO4 Volume,H2SO4 amount,3.99,2.876616,nm
24,FWHM,Time,Time,10.93,-2.427968,nm
24,FWHM,Temperature,Temperature,151.8,-0.668644,nm
24,FWHM,Molar Ratio,Molar ratio,305.1,-7.136097,nm
24,FWHM,H2SO4 Volume,H2SO4 amount,3.54,1.287764,nm
25,FWHM,Time,Time,11.78,-0.959787,nm
25,FWHM,Temperature,Temperature,154.8,-4.302528,nm
25,FWHM,Molar Ratio,Molar ratio,346.1,-8.972944,nm
25,FWHM,H2SO4 Volume,H2SO4 amount,3.77,0.610315,nm
26,FWHM,Time,Time,10.68,-2.219431,nm
26,FWHM,Temperature,Temperature,159.1,-2.524644,nm
26,FWHM,Molar Ratio,Molar ratio,268.4,-6.800597,nm
26,FWHM,H2SO4 Volume,H2SO4 amount,3.92,2.345727,nm
27,FWHM,Time,Time,8.79,-1.236417,nm
27,FWHM,Temperature,Temperature,155.1,-3.877935,nm
27,FWHM,Molar Ratio,Molar ratio,415.1,-2.936926,nm
27,FWHM,H2SO4 Volume,H2SO4 amount,2.29,-5.553667,nm
28,FWHM,Time,Time,8.29,-1.055926,nm
28,FWHM,Temperature,Temperature,152.6,-0.965046,nm
28,FWHM,Molar Ratio,Molar ratio,466.6,-3.190148,nm
28,FWHM,H2SO4 Volume,H2SO4 amount,2.69,-1.187824,nm
29,FWHM,Time,Time,9.75,-2.311926,nm
29,FWHM,Temperature,Temperature,154.1,-4.835796,nm
29,FWHM,Molar Ratio,Molar ratio,272.1,-7.479278,nm
29,FWHM,H2SO4 Volume,H2SO4 amount,1.89,-6.541944,nm
30,FWHM,Time,Time,10.49,-4.135866,nm
30,FWHM,Temperature,Temperature,155.4,-4.232755,nm
30,FWHM,Molar Ratio,Molar ratio,368.1,-5.155356,nm
30,FWHM,H2SO4 Volume,H2SO4 amount,1.51,-7.830968,nm
31,FWHM,Time,Time,11.84,0.621528,nm
31,FWHM,Temperature,Temperature,156.1,-2.735972,nm
31,FWHM,Molar Ratio,Molar ratio,325.6,-6.118593,nm
31,FWHM,H2SO4 Volume,H2SO4 amount,1.82,-4.303907,nm
32,FWHM,Time,Time,11.85,0.872319,nm
32,FWHM,Temperature,Temperature,155.9,-2.626495,nm
32,FWHM,Molar Ratio,Molar ratio,410.7,-2.522199,nm
32,FWHM,H2SO4 Volume,H2SO4 amount,1.59,-6.674569,nm
33,FWHM,Time,Time,10.01,-2.517144,nm
33,FWHM,Temperature,Temperature,153.3,-2.831838,nm
33,FWHM,Molar Ratio,Molar ratio,293.9,-5.978236,nm
33,FWHM,H2SO4 Volume,H2SO4 amount,1.37,-6.659727,nm
34,FWHM,Time,Time,9.67,1.126375,nm
34,FWHM,Temperature,Temperature,155.4,-2.699236,nm
34,FWHM,Molar Ratio,Molar ratio,374.5,-0.314384,nm
34,FWHM,H2SO4 Volume,H2SO4 amount,1.12,-4.631699,nm
35,FWHM,Time,Time,10.04,-2.385037,nm
35,FWHM,Temperature,Temperature,162.3,-3.31713,nm
35,FWHM,Molar Ratio,Molar ratio,476.6,-4.126037,nm
35,FWHM,H2SO4 Volume,H2SO4 amount,1.02,-8.308741,nm
36,FWHM,Time,Time,8.36,-1.300042,nm
36,FWHM,Temperature,Temperature,155.7,-3.50644,nm
36,FWHM,Molar Ratio,Molar ratio,448.7,-4.644069,nm
36,FWHM,H2SO4 Volume,H2SO4 amount,1.03,-7.690394,nm
