state,training_n,pool_size,seed,runtime_seconds,mean_poolwise_acquisition,mean_fixed_reference_score,relative_to_20000_reference_percent,nearest_distance_to_reference_top4_scaled,mean_pred_FWHM,mean_pred_PLQY_percent
cycle_5_start_n32,32,250,33,0.13470900000538677,0.866506767743742,0.24756731165746299,49.872741005902284,0.2084628366821442,42.76038742777095,30.147134194095955
cycle_5_start_n32,32,500,11,0.2811457999923732,0.8724892545092651,0.2617358675046666,52.72701409819543,0.19029453390724071,46.42017390519692,30.296775727581927
cycle_5_start_n32,32,500,22,0.2882438000087859,0.8645542474211223,0.2506239002958318,50.48849456602443,0.19069229713657987,42.43047077833123,31.304409805181542
cycle_5_start_n32,32,500,33,0.26678269999683835,0.8800409202181119,0.18142100738327904,36.54748623184562,0.27350669151090534,48.60968868055947,27.66832459874895
cycle_5_start_n32,32,1000,11,0.534368299995549,0.8769136164756408,0.24792657569633864,49.94511519069923,0.2097757500058441,44.23864144925039,29.69361830049177
cycle_5_start_n32,32,1000,22,0.5360688999935519,0.8626604407822644,0.3934934093729976,79.2697338021015,0.22115958312451442,41.95718417579548,30.09842236630217
cycle_5_start_n32,32,1000,33,0.5312585999927251,0.864136770588156,0.2829671872277824,57.00408970512982,0.20040068950770876,43.80004998310297,30.866046139473458
cycle_5_start_n32,32,2000,11,1.03310600000259,0.8650349541700717,0.36478798523988043,73.48699062138492,0.13865971738472596,45.41810876430301,32.77759247186906
cycle_5_start_n32,32,2000,22,1.0528056000039214,0.8674759581758633,0.29326639717580766,59.078878282282396,0.1258225696576314,44.36471619049159,32.155792040238595
cycle_5_start_n32,32,2000,33,1.0330648999952246,0.8629372065415638,0.33023739912768446,66.5267323334902,0.1409042095041028,42.86828558559932,31.885720063931934
cycle_5_start_n32,32,5000,11,2.683692200007499,0.8487003734110301,0.48530104974982013,97.76449645966684,0.10255585845031026,36.32011916623335,34.16542068750695
cycle_5_start_n32,32,5000,22,2.615135999993072,0.8614326157923092,0.30419785925746146,61.28103483342063,0.12227446045940278,44.55919224616362,33.25634540436398
cycle_5_start_n32,32,5000,33,2.9192743000021437,0.8545642911362519,0.44441562770327925,89.52807764091173,0.12681576726209134,36.87343982920477,32.84158427088965
cycle_5_start_n32,32,10000,11,5.468116500007454,0.8467862203348122,0.4801503765332148,96.72688697229957,0.07492460467657207,36.62704157877279,35.035411382942655
cycle_5_start_n32,32,10000,22,5.565793799993116,0.8487262311931094,0.48851634395301635,98.41222145203439,0.10858573418118554,36.018782175960425,33.692172972792896
cycle_5_start_n32,32,10000,33,5.717023399993195,0.8487086624991604,0.5365537712652082,108.08942057372457,0.10720590648258113,36.654946367843664,35.13881301625137
cycle_5_start_n32,32,20000,11,10.705469299995457,0.8513913530840921,0.45174665737358227,91.00492263149546,0.08295209267713075,38.17708426267526,34.263939947498685
cycle_5_start_n32,32,20000,22,11.230058299988741,0.8533592175858482,0.5325955983426054,107.2920417448965,0.08934452849188695,36.045040567659036,33.806482455836594
cycle_5_start_n32,32,20000,33,10.919230799991055,0.8495073825099748,0.5108203564920213,102.90539235292161,0.10327046935965842,34.867739614014255,34.04151115117793
